Id,Group,Abd_Leng
1,0 Control,4.7
2,0 Control,5.1
3,0 Control,5.6
4,0 Control,5
5,0 Control,5.3
6,0 Control,5.7
7,0 Control,5.7
8,0 Control,6
9,0 Control,5.8
10,0 Control,5.5
11,0 Control,5.8
12,0 Control,5.7
13,0 Control,5.3
14,0 Control,5.6
15,0 Control,6
16,0 Control,5.8
17,0 Control,6
18,0 Control,5.7
19,0 Control,6.1
20,0 Control,6.3
21,0 Control,6
22,0 Control,5.9
23,0 Control,6.2
24,0 Control,5.3
25,0 Control,5.3
26,0 Control,5.9
27,0 Control,6.1
28,0 Control,6.2
29,0 Control,5.2
30,0 Control,5.2
31,0 Control,7
32,0 Control,5.7
33,0 Control,6.1
34,3%,6
35,3%,5.9
37,3%,5.9
38,3%,5.8
39,3%,6
41,3%,5.9
42,3%,6.1
43,3%,5.9
44,3%,5.7
45,3%,6.2
46,3%,5.4
47,3%,6
48,3%,5.8
49,3%,6
50,3%,6.3
51,3%,5.5
52,3%,6.1
53,3%,6.1
54,3%,5.4
55,3%,6.2
56,3%,6
57,3%,5.9
58,3%,5.6
59,3%,5.8
60,6%,6.2
61,6%,4.7
62,6%,6.1
63,6%,5.6
64,6%,5.9
65,6%,5.7
66,6%,5.5
67,6%,5
68,6%,5.5
69,6%,5.3
70,6%,5.1
71,6%,5.4
72,6%,5.7
73,6%,5.5
74,6%,5.1
75,6%,5.3
76,6%,5
77,6%,6.1
78,6%,6.1
79,6%,5
80,6%,4.8
81,6%,5.8
82,6%,4.9
83,6%,6.1
84,6%,6
85,6%,5.9
86,6%,5.7
87,6%,5.7
88,6%,6
89,6%,5.3
90,6%,6.6
91,6%,5.5
92,7.50%,6.1
93,7.50%,6.1
94,7.50%,4.7
95,7.50%,5.4
96,7.50%,5.2
